content,url
"IIT Guwahati, located in the serene and picturesque city of Guwahati, Assam, is one of the premier technical institutes in India, renowned for its excellence in education, research, and innovation. The institute has a rich history and a strong commitment to nurturing talent and fostering academic excellence.", "https://www.iitg.ac.in/"
"At IIT Guwahati, students have the opportunity to pursue a wide range of undergraduate, postgraduate, and doctoral programs in engineering, science, and technology. The institute's world-class faculty and state-of-the-art research facilities provide a conducive environment for students to explore their potential and push the boundaries of knowledge.", "https://en.wikipedia.org/wiki/Indian_Institute_of_Technology_Guwahati"
"The sprawling campus of IIT Guwahati is situated on the banks of the majestic Brahmaputra river, offering not only a breathtaking view but also a tranquil setting that inspires creativity and learning. It's a place where students not only gain knowledge but also create memories that last a lifetime.", "https://www.google.com/maps?q=IIT+Guwahati"
"IIT Guwahati takes pride in its strong emphasis on research and innovation. The institute encourages students and faculty to engage in cutting-edge research across various disciplines. With numerous research centers and ongoing projects, IIT Guwahati contributes significantly to advancements in science and technology.", "https://www.iitg.ac.in/research/"
"Beyond academics, IIT Guwahati boasts a vibrant student community. Students have access to a plethora of clubs, societies, and extracurricular activities that cater to diverse interests. These activities help students develop holistically and make lifelong friendships.", "https://www.iitg.ac.in/students/"
"IIT Guwahati's annual technical festival, Techniche, and cultural festival, Alcheringa, are among the most awaited events in the academic calendar. These events showcase the talent and creativity of students and attract participants from all over the country.", "https://www.techniche.org/"
"The institute is dedicated to sustainability and has undertaken several green initiatives on its campus. From solar power installations to waste management systems, IIT Guwahati is committed to reducing its environmental footprint.", "https://www.iitg.ac.in/sustainability/"
"IIT Guwahati has established collaborations with leading international universities, fostering global academic exchange and research partnerships. These collaborations open doors to diverse learning opportunities and research experiences for students and faculty.", "https://www.iitg.ac.in/international-relations/"
"The alumni of IIT Guwahati have made significant contributions to various fields and hold prestigious positions worldwide. They are a testament to the institute's commitment to producing leaders who drive positive change and make an impact on the global stage.", "https://www.iitg.ac.in/alumni/"
"IIT Guwahati's vision is to be a global leader in education and research, driving innovation and positive change in society. With a focus on excellence, inclusivity, and sustainability, the institute continues to make strides toward achieving its ambitious goals.", "https://www.iitg.ac.in/about/vision-mission/"
